position,column,description,source,value_type,n_distinct,n_blank,possible_values,example,blank_means
22,ships_coefficients,yes if this clock's weights are inside the package and it can score today. This is the column to filter on when building something that has to run.,registry: derived,text,2,0,no; yes,no,never blank
23,profile_key,species|tissue_class|population_class|target_class. Two clocks sharing this string were fitted on the same kind of data. Sort on it to see the natural groupings.,derived,text,49,0,49 distinct values,Homo sapiens|blood_derived|adults|cell_composition,never blank
24,n_same_profile,"How many clocks share this profile_key, counting this one.",computed,integer,11,0,1; 10; 12; 14; 15; 18; 2; 3; 4; 6; 8,18,never blank
25,peers_same_profile,"The other clocks sharing this profile_key, semicolon-separated. Symmetric by construction: if A lists B, B lists A.",computed,list (semicolon-separated),154,21,154 distinct values,deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecell,no other clock shares this training profile
26,n_same_tissue_class,How many clocks in the registry share this tissue_class.,computed,integer,6,0,101; 22; 3; 33; 4; 8,33,never blank
27,n_same_target_class,How many clocks in the registry share this target_class.,computed,integer,10,0,15; 18; 2; 20; 22; 3; 4; 5; 62; 8,18,never blank
28,feature_overlap_partner,"The clock sharing the largest proportion of this clock's features, among those whose coefficients ship. Nearby clocks surface here: the two Lee placental variants find each other, as do stemTOC and stemTOCvitro.",computed from shipped coefficients,text,24,134,24 distinct values,lin,"two different things, and feature_overlap_jaccard separates them: blank with a blank jaccard means this clock's features are not distributed; blank with a jaccard of 0 means they are, and it shares no feature with any other clock that also ships them"
29,feature_overlap_jaccard,Jaccard index against feature_overlap_partner: shared features divided by the union. 1.0 would be an identical feature set.,computed from shipped coefficients,number,32,133,32 distinct values,0.0165,NOT zero. Blank means this clock's features are not distributed. A clock that ships coefficients and genuinely shares none reads 0.
30,feature_overlap_shared,Count of features shared with feature_overlap_partner.,computed from shipped coefficients,integer,28,133,28 distinct values,4,features not distributed; see feature_overlap_note
31,feature_overlap_note,"Why the three feature_overlap columns are empty, where they are.",computed,text,1,42,features not distributed for this clock,features not distributed for this clock,the overlap columns are populated and need no explanation
32,external_catalogues,"Which independent catalogues also list this clock, of TranslAGE, biolearn and methylCIPHER. More than one is corroboration that the clock exists as described by someone other than us.",external,list (semicolon-separated),7,109,biolearn; biolearn; methylcipher; methylcipher; translage; translage; biolearn; translage; biolearn; methylcipher; translage; methylcipher,biolearn; methylcipher,listed in none of the three catalogues checked
33,external_catalogue_urls,"Where to check those catalogues, in the same order as external_catalogues.",external,url,7,109,https://github.com/HigginsChenLab/methylCIPHER; https://github.com/bio-learn/biolearn; https://github.com/bio-learn/biolearn; https://github.com/HigginsChenLab/methylCIPHER; https://www.translage.io; https://www.translage.io; https://github.com/HigginsChenLab/methylCIPHER; https://www.translage.io; https://github.com/bio-learn/biolearn; https://www.translage.io; https://github.com/bio-learn/biolearn; https://github.com/HigginsChenLab/methylCIPHER,https://github.com/bio-learn/biolearn; https://github.com/HigginsChenLab/methylCIPHER,no external catalogue lists this clock
34,training_cohort_note,"Registry free text where it says something about the health of the training cohort. Populated for a handful of clocks only. THIS IS NOT A HEALTH-STATUS COLUMN and must not be filtered as one: health status is not a registry field, 5 of 175 entries mention it, and an empty cell here means nothing was written down, not that the cohort was healthy.","registry: notes, filtered",list (semicolon-separated),3,172,"B2M is linked to kidney function, cardiovascular disease and inflammation; DNAm B2M is a GrimAge component.; Mahalanobis distance from a healthy young reference population in biomarker space. The reference is part of the definition, not a detail: substituting the sample's own distribution silently changes what is being measured, so a reference cohort is required rather than defaulted.; Placental elastic-net clock trained on pooled healthy human placenta methylation datasets; 62 selected CpGs predict gestational age and were used to test age acceleration in early-onset preeclampsia.","Mahalanobis distance from a healthy young reference population in biomarker space. The reference is part of the definition, not a detail: substituting the sampl",nothing recorded about cohort health
35,verify_url,"Where to check this row. The clock's DOI where one exists, otherwise the coefficient source. Populated for all 175 clocks.","registry: doi, else coefficient_source.url",url,73,0,73 distinct values,https://doi.org/10.1186/s13059-018-1448-7,never blank
36,verify_url_kind,Whether verify_url is a DOI or a coefficient source URL.,derived,text,2,0,coefficient_source; doi,doi,never blank
37,verify_url_status,"Result of actually resolving verify_url. '200 ok' served directly. '403 publisher blocks bots; DOI registered in Crossref' means the link is good and the publisher refuses automated requests, which is the case for 44 rows, 32 of them the journal Aging. Anything ending 'unresolved' is a genuinely broken reference.",computed with --check-urls,list (semicolon-separated),2,0,200 ok; 403 publisher blocks bots; DOI registered in Crossref,200 ok,never blank; reads 'not checked' when the URL pass was skipped
38,coefficient_source_url,"Where the coefficients themselves came from, where that is a URL distinct from the paper.",registry: coefficient_source.url,url,11,148,https://doi.org/10.1038/s41467-022-32893-x; https://doi.org/10.1111/acel.12005; https://doi.org/10.1186/gb-2014-15-2-r24; https://doi.org/10.1186/s13059-018-1514-1; https://doi.org/10.1371/journal.pone.0014821; https://doi.org/10.5281/zenodo.2632938; https://doi.org/10.7554/eLife.40675; https://github.com/aet21/EpiMitClocks; https://github.com/gemmashireby/CorticalClock; https://github.com/rsinghlab/AltumAge; https://www.translage.io,https://github.com/aet21/EpiMitClocks,no separate coefficient source URL
39,citation,"The primary reference, as the registry records it.",registry: citation,text,77,0,77 distinct values,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina H",no citation recorded
